Appointment ID,Name,Phone Number,Service Booked,Preferred Employee,Appointment Date,Time Slot,Duration,Status,Source
APT1000,Divya Rao,918221053161,Facial,Kavita,2025-11-06 00:00:00,17:30,90,Cancelled,Website
APT1001,Sneha Gupta,917742585917,Threading,Sneha,2025-12-02 00:00:00,11:00,45,Completed,Website
APT1002,Priya Patel,911649133424,Bleaching,Sneha,2025-11-12 00:00:00,11:00,90,Cancelled,Instagram
APT1003,Divya Rao,910603202032,Hair Cut,Ritu,2025-12-01 00:00:00,14:00,60,Completed,WhatsApp
APT1004,Divya Rao,916737948714,Full Body Massage,Sneha,2025-12-04 00:00:00,14:00,60,Cancelled,Instagram
APT1005,Priya Patel,915841560821,Pedicure,Priya,2025-11-25 00:00:00,16:30,90,Completed,Website
APT1006,Ritu Mehta,914768182683,De-tan,Sneha,2025-12-19 00:00:00,13:00,45,Confirmed,Instagram
APT1007,Divya Rao,918808583825,De-tan,Ritu,2025-12-07 00:00:00,18:00,30,Confirmed,Phone
APT1008,Kavita Reddy,914064686775,De-tan,Priya,2025-12-27 00:00:00,11:30,60,Confirmed,Instagram
APT1009,Kavita Reddy,919910622723,Hair Cut,Kavita,2025-12-19 00:00:00,17:30,45,Pending,Website
APT1010,Priya Patel,913426192372,Manicure,Priya,2025-11-16 00:00:00,12:30,60,Completed,Website
APT1011,Divya Rao,917374189721,Bleaching,Kavita,2025-11-23 00:00:00,17:00,60,Completed,Instagram
APT1012,Pooja Desai,919274381199,Bleaching,Kavita,2025-11-11 00:00:00,19:30,45,Cancelled,WhatsApp
APT1013,Sneha Gupta,914485645101,Threading,Sneha,2025-11-07 00:00:00,19:00,45,Cancelled,Website
APT1014,Priya Patel,917899698609,Facial,Priya,2025-12-01 00:00:00,19:30,30,Completed,Phone
APT1015,Pooja Desai,910577980660,Pedicure,Anjali,2025-11-27 00:00:00,18:30,45,Completed,Walk-in
APT1016,Simran Kaur,914555347057,Manicure,Ritu,2025-11-22 00:00:00,15:00,45,Completed,Website
APT1017,Ritu Mehta,912715598354,Facial,Anjali,2025-12-15 00:00:00,14:30,30,Pending,Website
APT1018,Pooja Desai,913475575225,Waxing,Ritu,2025-12-05 00:00:00,19:00,30,Confirmed,Instagram
APT1019,Aditi Joshi,918269131196,Manicure,Ritu,2026-01-01 00:00:00,17:30,45,Pending,Instagram
APT1020,Priya Patel,914991537038,De-tan,Kavita,2025-11-29 00:00:00,11:30,60,Completed,Phone
APT1021,Kavita Reddy,917320430977,Hair Cut,Sneha,2025-12-27 00:00:00,12:00,45,Pending,Website
APT1022,Sneha Gupta,915465535851,De-tan,Ritu,2025-12-11 00:00:00,15:30,60,Confirmed,Website
APT1023,Aditi Joshi,915193583749,Waxing,Kavita,2025-11-12 00:00:00,10:30,90,Cancelled,Website
APT1024,Anjali Sharma,918780572151,Manicure,Ritu,2025-12-01 00:00:00,10:00,60,Completed,WhatsApp
APT1025,Kavita Reddy,917484539862,Full Body Massage,Ritu,2025-12-01 00:00:00,11:30,60,Completed,Walk-in
APT1026,Priya Patel,919186233922,Waxing,Anjali,2025-12-19 00:00:00,14:00,90,Confirmed,Walk-in
