Bill Date & Time,Timestamp,Name,Phone Number,Waxing,Facial,De-tan,Pedicure,Manicure,Bleaching,Wash,Massage,Threading,Hair Cut,Miscellaneous,Bill Amount,Service done by,Payment Mode,Helper for S,Bill Date,week,Name of the day
17/11/2025 22:08:14,17/11/2025 22:08:14,Nisha Verma,+91 4332181960,False,True,False,False,False,False,False,False,False,False,,423,Sneha,Cash,Helper2,17/11/2025,47,Monday
21/11/2025 08:41:14,21/11/2025 08:41:14,Pooja Desai,+91 3794026542,False,False,False,False,False,True,False,False,False,False,,304,Priya,Wallet,Helper1,21/11/2025,47,Friday
07/09/2025 02:45:14,07/09/2025 02:45:14,Sneha Gupta,+91 0781618495,True,True,False,True,False,False,False,False,False,False,,1210,Sneha,Cash,,07/09/2025,36,Sunday
18/08/2025 04:47:14,18/08/2025 04:47:14,Ritu Mehta,+91 2553419283,False,False,False,False,False,False,False,True,False,False,,588,Anjali,Card,Helper3,18/08/2025,34,Monday
22/06/2025 00:59:14,22/06/2025 00:59:14,Anjali Sharma,+91 5641395376,False,False,True,False,True,False,False,True,False,False,,1568,Ritu,UPI,,22/06/2025,25,Sunday
04/11/2025 03:30:14,04/11/2025 03:30:14,Kavita Reddy,+91 2871012269,False,False,False,False,False,False,True,False,False,False,,590,Ritu,Wallet,Helper3,04/11/2025,45,Tuesday
26/10/2025 21:50:14,26/10/2025 21:50:14,Nisha Verma,+91 1845146270,False,False,True,False,True,False,False,False,True,False,,1532,Ritu,Card,Helper2,26/10/2025,43,Sunday
10/09/2025 23:41:14,10/09/2025 23:41:14,Aditi Joshi,+91 0957015430,False,False,False,False,False,False,False,False,False,True,,280,Priya,Wallet,Helper1,10/09/2025,37,Wednesday
21/10/2025 23:15:14,21/10/2025 23:15:14,Sakshi Kumar,+91 7824896383,False,False,False,False,True,True,True,False,False,False,,2039,Priya,Card,Helper2,21/10/2025,43,Tuesday
24/06/2025 02:08:14,24/06/2025 02:08:14,Divya Rao,+91 8393010310,False,True,False,False,False,False,False,False,True,False,,928,Kavita,Card,Helper2,24/06/2025,26,Tuesday
01/11/2025 06:37:14,01/11/2025 06:37:14,Kavita Reddy,+91 7631165667,True,True,False,False,False,False,False,False,False,True,,1470,Sneha,Card,Helper2,01/11/2025,44,Saturday
23/10/2025 04:15:14,23/10/2025 04:15:14,Pooja Desai,+91 2473178108,False,True,False,False,False,False,False,False,False,False,,442,Sneha,Wallet,,23/10/2025,43,Thursday
09/10/2025 01:02:14,09/10/2025 01:02:14,Pooja Desai,+91 0260647468,False,False,True,True,False,False,False,True,False,False,,1184,Ritu,Cash,Helper3,09/10/2025,41,Thursday
21/06/2025 21:44:14,21/06/2025 21:44:14,Simran Kaur,+91 8820812191,False,True,False,True,False,False,True,False,False,False,,2027,Ritu,Cash,Helper1,21/06/2025,25,Saturday
23/09/2025 07:44:14,23/09/2025 07:44:14,Divya Rao,+91 8543534624,False,True,False,False,False,True,False,False,False,False,,878,Ritu,Cash,Helper1,23/09/2025,39,Tuesday
23/10/2025 00:39:14,23/10/2025 00:39:14,Sneha Gupta,+91 2513542784,True,False,False,False,True,False,False,False,True,False,,1113,Priya,Cash,Helper2,23/10/2025,43,Thursday
16/08/2025 01:45:14,16/08/2025 01:45:14,Kavita Reddy,+91 5348740164,True,False,False,False,False,False,False,False,False,False,,541,Sneha,UPI,Helper2,16/08/2025,33,Saturday
29/09/2025 05:52:14,29/09/2025 05:52:14,Pooja Desai,+91 8011280598,False,False,False,False,False,False,True,False,False,False,,330,Priya,UPI,Helper3,29/09/2025,40,Monday
18/06/2025 02:20:14,18/06/2025 02:20:14,Sakshi Kumar,+91 3158692322,True,False,True,False,False,False,False,False,False,False,,1161,Sneha,UPI,Helper2,18/06/2025,25,Wednesday
03/12/2025 22:31:14,03/12/2025 22:31:14,Anjali Sharma,+91 7337543303,False,False,False,False,True,True,False,False,False,False,,756,Anjali,Wallet,Helper3,03/12/2025,49,Wednesday
