Appointment ID,Name,Phone Number,Service Booked,Preferred Employee,Appointment Date,Time Slot,Status,Source
A8662,Soumya,9563954367,Hair Cut,Malar,22/08/2024,10:00 AM,Scheduled,Instagram
A5140,Priya,9727854456,Waxing,Poornima,22/08/2024,11:00 AM,No-show,Walk-in
A8097,Nisha,9903134492,Miscellaneous,Anjali,22/08/2024,12:00 PM,Completed,WhatsApp
A8500,Harini,9716025236,Bleaching,Malar,22/08/2024,3:00 PM,Scheduled,Instagram
A5576,Sangeetha,9274193300,Hair Cut,Suganya Sri,22/08/2024,5:00 PM,No-show,Instagram
A4848,Harini,9536616437,Threading,Suganya Sri,23/08/2024,10:00 AM,Scheduled,Instagram
A7290,Deepa,9517063780,Pedicure,Malar,23/08/2024,11:00 AM,No-show,Instagram
A2731,Keerthana,9161471565,Waxing,Pinky,23/08/2024,12:00 PM,Scheduled,WhatsApp
A8987,Ranjani,9811995731,Manicure,Suganya Sri,23/08/2024,3:00 PM,Completed,WhatsApp
A1944,Sangeetha,9826404469,Bleaching,Pinky,23/08/2024,5:00 PM,Completed,Instagram
A9043,Shruthi,9775657336,Massage,Suganya Sri,24/08/2024,10:00 AM,Scheduled,Walk-in
A2348,Soumya,9882374994,Bleaching,Poornima,24/08/2024,11:00 AM,Completed,Walk-in
A6888,Ranjani,9508936254,De-tan,Suganya Sri,24/08/2024,12:00 PM,Scheduled,WhatsApp
A5590,Shruthi,9745705238,De-tan,Malar,24/08/2024,3:00 PM,Completed,Instagram
A7751,Nisha,9317242213,Massage,Anjali,24/08/2024,5:00 PM,No-show,Instagram
A9650,Keerthana,9992801374,Bleaching,Poornima,25/08/2024,10:00 AM,Completed,Instagram
A3852,Nisha,9833290166,Miscellaneous,Poornima,25/08/2024,11:00 AM,Completed,WhatsApp
A2101,Sangeetha,9647044125,Pedicure,Poornima,25/08/2024,12:00 PM,Scheduled,Walk-in
A6770,Anjali,9408631655,Massage,Malar,25/08/2024,3:00 PM,Completed,Walk-in
A7927,Latha,9431690996,Waxing,Suganya Sri,25/08/2024,5:00 PM,Scheduled,Instagram
A9579,Soumya,9606416576,De-tan,Pinky,26/08/2024,10:00 AM,Scheduled,Instagram
A8051,Harini,9251449206,Hair Cut,Poornima,26/08/2024,11:00 AM,Completed,WhatsApp
A7205,Sandhya,9275033599,Facial,Malar,26/08/2024,12:00 PM,Completed,Instagram
