Timestamp,DateTIme,Client Name,Client Number,Sold by,Product Name,Bill Amount,Payment Mode,Helper
02/10/2024 20:00:00,02/10/2024 20:00,Deepa,9254400640,Anjali,Hair Oil,167,GPay,
22/08/2024 11:00:00,22/08/2024 11:00,Latha,9412128734,Suganya Sri,Hair Serum,680,PhonePe,
14/11/2024 10:00:00,14/11/2024 10:00,Latha,9140071777,Suganya Sri,Face Pack,171,PhonePe,Anjali
04/09/2024 20:00:00,04/09/2024 20:00,Deepa,9227290879,Malar,Face Pack,975,Card,Anjali
17/09/2024 21:00:00,17/09/2024 21:00,Nisha,9442030197,Pinky,Hair Oil,1172,Cash,Poornima
11/11/2024 11:00:00,11/11/2024 11:00,Ranjani,9372541630,Anjali,Shampoo,635,Cash,
25/09/2024 12:00:00,25/09/2024 12:00,Ranjani,9892650727,Suganya Sri,Conditioner,1179,Cash,Malar
13/09/2024 16:00:00,13/09/2024 16:00,Keerthana,9906493211,Anjali,Shampoo,1766,PhonePe,Poornima
28/10/2024 12:00:00,28/10/2024 12:00,Kavya,9923653970,Malar,Body Lotion,1327,Cash,
03/11/2024 14:00:00,03/11/2024 14:00,Sangeetha,9579065520,Pinky,Conditioner,1858,PhonePe,Pinky
07/09/2024 10:00:00,07/09/2024 10:00,Nisha,9521441380,Suganya Sri,Shampoo,561,Card,Pinky
23/08/2024 14:00:00,23/08/2024 14:00,Keerthana,9826791874,Anjali,Face Pack,339,Card,Suganya Sri
22/10/2024 21:00:00,22/10/2024 21:00,Kavya,9795057860,Malar,Body Lotion,275,PhonePe,
30/09/2024 21:00:00,30/09/2024 21:00,Kavya,9915956148,Poornima,Conditioner,286,Cash,Suganya Sri
31/10/2024 19:00:00,31/10/2024 19:00,Meena,9286241947,Pinky,Shampoo,890,Cash,Malar
21/09/2024 11:00:00,21/09/2024 11:00,Sangeetha,9829030595,Anjali,Body Lotion,299,Cash,
12/10/2024 19:00:00,12/10/2024 19:00,Latha,9288618689,Poornima,Conditioner,1694,PhonePe,Poornima
27/09/2024 18:00:00,27/09/2024 18:00,Anjali,9268947900,Poornima,Conditioner,996,GPay,Poornima
02/10/2024 21:00:00,02/10/2024 21:00,Soumya,9303330698,Anjali,Conditioner,242,Cash,Suganya Sri
25/09/2024 12:00:00,25/09/2024 12:00,Deepa,9618846564,Poornima,Shampoo,1499,Cash,Malar
26/08/2024 13:00:00,26/08/2024 13:00,Shruthi,9799681389,Suganya Sri,Face Pack,888,Card,
06/09/2024 12:00:00,06/09/2024 12:00,Keerthana,9398260141,Poornima,Hair Serum,998,Cash,Suganya Sri
13/11/2024 17:00:00,13/11/2024 17:00,Ranjani,9354750984,Suganya Sri,Body Lotion,1020,Card,
06/09/2024 09:00:00,06/09/2024 09:00,Latha,9987531855,Anjali,Shampoo,430,PhonePe,
20/11/2024 18:00:00,20/11/2024 18:00,Soumya,9256550582,Malar,Body Lotion,1563,GPay,
23/08/2024 12:00:00,23/08/2024 12:00,Meena,9638906505,Malar,Body Lotion,636,Card,Suganya Sri
20/11/2024 09:00:00,20/11/2024 09:00,Aishwarya,9498395461,Malar,Hair Oil,1979,Cash,
06/11/2024 10:00:00,06/11/2024 10:00,Latha,9575982723,Pinky,Face Pack,920,GPay,
08/11/2024 20:00:00,08/11/2024 20:00,Swathi,9114022560,Malar,Shampoo,190,GPay,
18/09/2024 13:00:00,18/09/2024 13:00,Divya,9657921401,Anjali,Body Lotion,1149,PhonePe,Malar
16/10/2024 14:00:00,16/10/2024 14:00,Shruthi,9608980757,Suganya Sri,Face Pack,351,Cash,Anjali
03/09/2024 09:00:00,03/09/2024 09:00,Sangeetha,9874555106,Pinky,Face Pack,402,PhonePe,Malar
07/09/2024 15:00:00,07/09/2024 15:00,Priya,9717669723,Poornima,Hair Oil,1028,GPay,Poornima
01/10/2024 14:00:00,01/10/2024 14:00,Nisha,9456226299,Poornima,Body Lotion,507,GPay,Malar
14/10/2024 21:00:00,14/10/2024 21:00,Kavya,9288197763,Pinky,Hair Oil,564,PhonePe,Poornima
28/09/2024 21:00:00,28/09/2024 21:00,Deepa,9885420162,Malar,Hair Oil,1798,Card,Malar
29/09/2024 09:00:00,29/09/2024 09:00,Soumya,9417816848,Malar,Body Lotion,1924,Card,Suganya Sri
10/11/2024 14:00:00,10/11/2024 14:00,Swathi,9208714529,Poornima,Hair Serum,1514,PhonePe,
06/09/2024 20:00:00,06/09/2024 20:00,Priya,9636424366,Malar,Hair Oil,197,Cash,Malar
25/09/2024 19:00:00,25/09/2024 19:00,Divya,9936945390,Suganya Sri,Body Lotion,1041,Card,
14/11/2024 21:00:00,14/11/2024 21:00,Harini,9550801775,Malar,Shampoo,1274,Cash,
01/10/2024 11:00:00,01/10/2024 11:00,Shruthi,9714794521,Anjali,Hair Serum,477,Cash,
09/09/2024 18:00:00,09/09/2024 18:00,Divya,9733872671,Suganya Sri,Body Lotion,1836,GPay,
13/11/2024 10:00:00,13/11/2024 10:00,Divya,9160977550,Malar,Conditioner,1018,Card,
17/09/2024 19:00:00,17/09/2024 19:00,Aishwarya,9630866790,Suganya Sri,Body Lotion,1715,Card,
21/09/2024 11:00:00,21/09/2024 11:00,Harini,9145397295,Anjali,Hair Serum,1749,PhonePe,
18/09/2024 13:00:00,18/09/2024 13:00,Keerthana,9731647687,Poornima,Shampoo,531,Cash,Poornima
18/11/2024 16:00:00,18/11/2024 16:00,Aishwarya,9270172663,Pinky,Hair Serum,1246,Card,Suganya Sri
06/10/2024 13:00:00,06/10/2024 13:00,Aishwarya,9615686040,Poornima,Hair Serum,1502,GPay,
