Bill Date & Time,DateTIme,Name,Phone Number,Waxing,Facial,De-tan,Pedicure,Manicure,Bleaching,Wash,Massage,Threading,Hair Cut,Miscellaneous,Bill Amount,Service done by,Payment Mode,Helper for S,Bill Date,week,Name of the day
18/09/2024 18:45:00,18/09/2024 18:45,Aishwarya,9330251907,Waxing,Facial,De-tan,Pedicure,,Bleaching,Wash,Massage,,,Miscellaneous,1069,Pinky,Cash,,2024-09-18,38,Wednesday
10/10/2024 13:10:00,10/10/2024 13:10,Shruthi,9613158960,Waxing,,,,Manicure,Bleaching,,Massage,Threading,,Miscellaneous,1372,Suganya Sri,PhonePe,Pinky,2024-10-10,41,Thursday
19/09/2024 10:06:00,19/09/2024 10:06,Ranjani,9112480854,Waxing,,,,,,,,Threading,Hair Cut,Miscellaneous,1038,Pinky,GPay,Pinky,2024-09-19,38,Thursday
16/09/2024 17:23:00,16/09/2024 17:23,Swathi,9702577861,Waxing,Facial,De-tan,,Manicure,,,,,Hair Cut,,981,Malar,Card,Poornima,2024-09-16,38,Monday
10/09/2024 19:10:00,10/09/2024 19:10,Meena,9686292307,,,,Pedicure,,,Wash,,Threading,Hair Cut,,1723,Suganya Sri,Card,Anjali,2024-09-10,37,Tuesday
31/10/2024 16:11:00,31/10/2024 16:11,Soumya,9367588288,,,,,,Bleaching,Wash,Massage,,Hair Cut,Miscellaneous,3013,Poornima,Card,Anjali,2024-10-31,44,Thursday
14/09/2024 11:04:00,14/09/2024 11:04,Divya,9490146560,Waxing,,De-tan,Pedicure,Manicure,Bleaching,,Massage,,,,1605,Poornima,PhonePe,Poornima,2024-09-14,37,Saturday
15/11/2024 11:31:00,15/11/2024 11:31,Nisha,9944179791,,Facial,,,,,Wash,,,,Miscellaneous,1719,Poornima,Cash,Pinky,2024-11-15,46,Friday
11/09/2024 17:14:00,11/09/2024 17:14,Keerthana,9621810600,,Facial,,,Manicure,,,Massage,,,,1555,Pinky,PhonePe,Suganya Sri,2024-09-11,37,Wednesday
27/10/2024 15:52:00,27/10/2024 15:52,Kavya,9779806960,,,,,,,,Massage,Threading,Hair Cut,Miscellaneous,1432,Pinky,PhonePe,Anjali,2024-10-27,43,Sunday
06/09/2024 16:56:00,06/09/2024 16:56,Keerthana,9623113288,Waxing,Facial,De-tan,Pedicure,,,Wash,Massage,Threading,,Miscellaneous,1313,Suganya Sri,Cash,,2024-09-06,36,Friday
20/10/2024 12:45:00,20/10/2024 12:45,Aishwarya,9764042295,Waxing,,,,Manicure,,Wash,Massage,Threading,Hair Cut,Miscellaneous,1943,Suganya Sri,PhonePe,Suganya Sri,2024-10-20,42,Sunday
24/10/2024 20:09:00,24/10/2024 20:09,Ranjani,9348082159,,Facial,De-tan,,,Bleaching,Wash,,,,Miscellaneous,929,Anjali,GPay,,2024-10-24,43,Thursday
25/10/2024 13:00:00,25/10/2024 13:00,Soumya,9914334476,Waxing,Facial,De-tan,,Manicure,Bleaching,,Massage,,,,807,Malar,Cash,,2024-10-25,43,Friday
12/10/2024 12:28:00,12/10/2024 12:28,Swathi,9559273133,Waxing,Facial,De-tan,,Manicure,Bleaching,Wash,Massage,,,Miscellaneous,1111,Anjali,GPay,Pinky,2024-10-12,41,Saturday
03/09/2024 12:48:00,03/09/2024 12:48,Swathi,9782459475,Waxing,,De-tan,Pedicure,Manicure,Bleaching,Wash,,Threading,,,3017,Pinky,GPay,,2024-09-03,36,Tuesday
17/11/2024 09:23:00,17/11/2024 09:23,Swathi,9570446556,Waxing,Facial,De-tan,,Manicure,,Wash,,Threading,,,3160,Suganya Sri,Card,Poornima,2024-11-17,46,Sunday
14/11/2024 20:21:00,14/11/2024 20:21,Kavya,9901139025,Waxing,,,Pedicure,Manicure,Bleaching,Wash,,,Hair Cut,,1668,Suganya Sri,Card,,2024-11-14,46,Thursday
12/10/2024 09:03:00,12/10/2024 09:03,Aishwarya,9828876088,Waxing,,,Pedicure,Manicure,,,,Threading,,,1890,Pinky,GPay,Pinky,2024-10-12,41,Saturday
13/10/2024 18:32:00,13/10/2024 18:32,Soumya,9645907769,Waxing,Facial,,Pedicure,,,,,,,,3200,Malar,PhonePe,,2024-10-13,41,Sunday
17/09/2024 12:46:00,17/09/2024 12:46,Kavya,9552862999,Waxing,,,Pedicure,Manicure,,Wash,Massage,Threading,Hair Cut,Miscellaneous,1793,Pinky,Cash,Anjali,2024-09-17,38,Tuesday
31/08/2024 17:39:00,31/08/2024 17:39,Priya,9377722718,,,De-tan,Pedicure,Manicure,Bleaching,Wash,Massage,,Hair Cut,,860,Malar,Cash,Malar,2024-08-31,35,Saturday
30/09/2024 19:57:00,30/09/2024 19:57,Latha,9204814906,,,,Pedicure,Manicure,,Wash,,Threading,,Miscellaneous,3492,Suganya Sri,Cash,,2024-09-30,40,Monday
20/10/2024 11:47:00,20/10/2024 11:47,Deepa,9622289581,Waxing,,,Pedicure,,Bleaching,Wash,,Threading,,,151,Anjali,GPay,,2024-10-20,42,Sunday
09/09/2024 11:25:00,09/09/2024 11:25,Sangeetha,9155761748,,Facial,De-tan,Pedicure,,,,Massage,,Hair Cut,,3385,Anjali,PhonePe,,2024-09-09,37,Monday
09/09/2024 09:36:00,09/09/2024 09:36,Harini,9996274543,,,,Pedicure,Manicure,Bleaching,,Massage,Threading,Hair Cut,Miscellaneous,444,Anjali,Card,,2024-09-09,37,Monday
25/10/2024 20:47:00,25/10/2024 20:47,Swathi,9473573556,,Facial,,Pedicure,,,,Massage,,Hair Cut,,150,Poornima,Card,Pinky,2024-10-25,43,Friday
31/08/2024 15:47:00,31/08/2024 15:47,Kavya,9596564452,Waxing,Facial,De-tan,Pedicure,Manicure,Bleaching,Wash,Massage,Threading,Hair Cut,,2042,Suganya Sri,Card,,2024-08-31,35,Saturday
27/08/2024 18:21:00,27/08/2024 18:21,Harini,9545547925,Waxing,Facial,De-tan,Pedicure,,,,,Threading,,Miscellaneous,2247,Suganya Sri,GPay,,2024-08-27,35,Tuesday
08/09/2024 20:31:00,08/09/2024 20:31,Anjali,9690963653,Waxing,,,,,,Wash,Massage,,Hair Cut,Miscellaneous,3404,Pinky,Cash,,2024-09-08,36,Sunday
30/10/2024 12:22:00,30/10/2024 12:22,Ranjani,9759024107,,Facial,,Pedicure,Manicure,Bleaching,Wash,Massage,,Hair Cut,Miscellaneous,2511,Anjali,Cash,Pinky,2024-10-30,44,Wednesday
18/10/2024 17:18:00,18/10/2024 17:18,Priya,9769063095,Waxing,,,,Manicure,,Wash,Massage,Threading,Hair Cut,Miscellaneous,1743,Pinky,GPay,Malar,2024-10-18,42,Friday
01/11/2024 19:21:00,01/11/2024 19:21,Divya,9237518304,,,De-tan,,Manicure,Bleaching,,Massage,,Hair Cut,Miscellaneous,1894,Poornima,GPay,Suganya Sri,2024-11-01,44,Friday
22/08/2024 13:27:00,22/08/2024 13:27,Nisha,9230957192,Waxing,Facial,De-tan,Pedicure,,,,Massage,Threading,Hair Cut,Miscellaneous,3422,Anjali,Cash,,2024-08-22,34,Thursday
12/10/2024 16:05:00,12/10/2024 16:05,Divya,9929733543,,Facial,De-tan,Pedicure,Manicure,Bleaching,,,,Hair Cut,Miscellaneous,1290,Suganya Sri,Card,,2024-10-12,41,Saturday
08/11/2024 10:01:00,08/11/2024 10:01,Nisha,9831783357,Waxing,Facial,,,,Bleaching,,Massage,Threading,Hair Cut,,2214,Poornima,GPay,Malar,2024-11-08,45,Friday
18/11/2024 16:05:00,18/11/2024 16:05,Latha,9830104308,Waxing,Facial,,,Manicure,Bleaching,Wash,,,Hair Cut,Miscellaneous,2618,Anjali,PhonePe,Pinky,2024-11-18,47,Monday
17/09/2024 19:00:00,17/09/2024 19:00,Meena,9943965983,Waxing,,De-tan,Pedicure,,,,Massage,,,,1965,Pinky,PhonePe,Pinky,2024-09-17,38,Tuesday
15/09/2024 10:32:00,15/09/2024 10:32,Kavya,9163585056,,Facial,De-tan,,,,,,Threading,,,777,Pinky,GPay,Suganya Sri,2024-09-15,37,Sunday
02/11/2024 12:49:00,02/11/2024 12:49,Aishwarya,9279750663,,Facial,,,Manicure,,,Massage,,,,2473,Malar,GPay,Poornima,2024-11-02,44,Saturday
31/08/2024 15:41:00,31/08/2024 15:41,Aishwarya,9798505275,,,,,Manicure,Bleaching,Wash,Massage,Threading,Hair Cut,,2378,Poornima,Cash,,2024-08-31,35,Saturday
21/09/2024 15:09:00,21/09/2024 15:09,Ranjani,9323027686,Waxing,,,,Manicure,Bleaching,Wash,Massage,,,,2510,Malar,Cash,,2024-09-21,38,Saturday
01/10/2024 12:23:00,01/10/2024 12:23,Swathi,9514648475,,Facial,,Pedicure,Manicure,Bleaching,Wash,,,,,3098,Suganya Sri,Cash,,2024-10-01,40,Tuesday
12/10/2024 13:16:00,12/10/2024 13:16,Anjali,9658059811,,Facial,,Pedicure,Manicure,,Wash,Massage,Threading,Hair Cut,,3299,Suganya Sri,PhonePe,,2024-10-12,41,Saturday
07/09/2024 14:25:00,07/09/2024 14:25,Meena,9182517647,,,De-tan,Pedicure,,,Wash,,Threading,,,3324,Anjali,PhonePe,Pinky,2024-09-07,36,Saturday
20/10/2024 18:03:00,20/10/2024 18:03,Sandhya,9280492867,,,,Pedicure,Manicure,,,Massage,Threading,,,553,Suganya Sri,Card,,2024-10-20,42,Sunday
30/08/2024 13:17:00,30/08/2024 13:17,Keerthana,9742710842,,Facial,,Pedicure,Manicure,,,,Threading,,,2132,Poornima,GPay,Poornima,2024-08-30,35,Friday
26/10/2024 17:44:00,26/10/2024 17:44,Sandhya,9178751252,Waxing,Facial,De-tan,,Manicure,,Wash,Massage,,Hair Cut,,609,Anjali,GPay,,2024-10-26,43,Saturday
06/09/2024 20:06:00,06/09/2024 20:06,Meena,9873971225,Waxing,,De-tan,,,Bleaching,,Massage,,,Miscellaneous,2434,Malar,Cash,,2024-09-06,36,Friday
05/09/2024 17:42:00,05/09/2024 17:42,Priya,9929332873,Waxing,,,Pedicure,Manicure,Bleaching,Wash,,,,,3062,Suganya Sri,GPay,Suganya Sri,2024-09-05,36,Thursday
20/10/2024 14:58:00,20/10/2024 14:58,Keerthana,9851121036,,,De-tan,Pedicure,Manicure,,Wash,Massage,Threading,Hair Cut,,321,Anjali,Card,Anjali,2024-10-20,42,Sunday
30/08/2024 16:27:00,30/08/2024 16:27,Deepa,9752493600,,,De-tan,,Manicure,Bleaching,,,,Hair Cut,,1644,Pinky,PhonePe,Suganya Sri,2024-08-30,35,Friday
24/08/2024 20:19:00,24/08/2024 20:19,Divya,9158750623,Waxing,Facial,,,,,,,,,Miscellaneous,327,Poornima,GPay,,2024-08-24,34,Saturday
19/10/2024 10:58:00,19/10/2024 10:58,Kavya,9834569456,Waxing,,,Pedicure,,,,,,,Miscellaneous,3426,Anjali,GPay,,2024-10-19,42,Saturday
29/08/2024 19:15:00,29/08/2024 19:15,Meena,9741016860,Waxing,,,,Manicure,Bleaching,Wash,Massage,,Hair Cut,Miscellaneous,2083,Pinky,Cash,Poornima,2024-08-29,35,Thursday
16/10/2024 20:18:00,16/10/2024 20:18,Swathi,9162235547,,,,,,,,Massage,,Hair Cut,,2960,Suganya Sri,PhonePe,,2024-10-16,42,Wednesday
11/10/2024 15:19:00,11/10/2024 15:19,Keerthana,9552027525,,,De-tan,,,,Wash,Massage,,,,2686,Poornima,PhonePe,Suganya Sri,2024-10-11,41,Friday
12/11/2024 11:56:00,12/11/2024 11:56,Harini,9748622663,Waxing,,De-tan,,,Bleaching,Wash,,,Hair Cut,,1661,Suganya Sri,PhonePe,,2024-11-12,46,Tuesday
